PilotId,FullName,NextTrainingDate,Rank,AircraftId
485,Harper Taylor,14 08 2025,"""Master Sergeant""",NULL
486,Michael Green,29 09 2025,"""Second Lieutenant""",NULL
487,William Clark,11 05 2025,"""Lieutenant Colonel""",175
488,Ava Carter,31 08 2025,"""Lieutenant Colonel""",471
489,Liam Adams,22 06 2025,"""Airman First Class""",NULL
490,James Davis,06 07 2025,"""Senior Airman""",561
491,Liam Smith,26 11 2025,"""Master Sergeant""",NULL
492,Alexander Nelson,25 11 2025,"""Lieutenant Colonel""",540
493,Olivia Smith,25 09 2025,"""Second Lieutenant""",NULL
494,Liam Baker,22 05 2025,"""General""",NULL
495,Mia Wilson,13 07 2025,"""Sergeant""",NULL
496,Ava Turner,31 08 2025,"""Airman""",NULL
497,Isabella Clark,04 05 2025,"""Colonel""",635
498,Olivia Davis,18 12 2025,"""Airman""",340
499,Ethan Walker,21 11 2025,"""Chief Warrant Officer""",675
500,Emma Taylor,13 10 2025,"""Chief Warrant Officer""",782
